comicID,characterID
16232,1009220
16232,1010740
16248,1009220
16248,1009471
58634,1009515
16241,1009220
16241,1009535
17486,1009175
17486,1009243
17486,1009257
17486,1009310
17486,1009718
16234,1009220
16234,1009535
16234,1010740
10511,1009610
27238,1009368
27238,1009718
16236,1009220
69098,1009268
69098,1009313
69098,1009546
69097,1009268
69097,1009313
69097,1009546
68868,1009378
68868,1009215
70092,1009277
70092,1009393
70092,1009482
70092,1009554
70092,1009705
70269,1009312
70269,1009592
68147,1009268
67717,1009168
67717,1009175
67717,1009243
67717,1009267
67717,1009337
67717,1009705
67135,1009351
67950,1010805
67725,1009512
70236,1009472
70236,1009629
70224,1009327
69381,1009281
69381,1009466
69381,1010740
67145,1009282
68000,1009241
68000,1009258
68608,1011385
68608,1009262
68957,1009664
67919,1009220
68111,1009262
70158,1009722
67349,1009282
67349,1009407
67349,1009652
68148,1009268
67173,1009356
67173,1009662
69096,1009313
69096,1009546
69853,1009368
69853,1009515
68600,1009277
68600,1009381
68600,1009718
67633,1009404
67633,1009610
68094,1009262
70219,1009310
70219,1009417
67593,1009629
73710,1009718
68936,1009356
70235,1009243
70235,1009472
70235,1009629
69925,1009407
69925,1009664
69491,1009268
69491,1009610
67210,1009297
69497,1009268
69497,1009610
68787,1009399
68747,1009378
67762,1009407
69959,1009368
68656,1009189
68656,1009282
68656,1011490
67907,1009214
67907,1009257
70944,1009282
68592,1009393
68592,1009554
69036,1009610
67134,1009351
73623,1009241
73623,1009258
69221,1009338
70248,1009313
70248,1009327
70248,1009466
70248,1009472
70248,1009629
70248,1009722
69279,1009610
69462,1009351
69462,1011223
73709,1009718
68584,1009368
68584,1009378
68584,1009215
68584,1009447
68584,1009610
67622,1009722
70218,1009310
70218,1009417
69374,1009524
69374,1009562
68331,1009277
68331,1009577
67942,1009220
67538,1009212
68358,1009197
68358,1009471
69214,1009312
69214,1010763
68960,1009220
70155,1009722
69937,1009407
69937,1009480
69937,1009664
68267,1009268
68100,1009262
68100,1009389
68146,1009268
68669,1011020
67692,1009610
69852,1009189
69852,1009515
69852,1010740
67631,1009610
69902,1009391
71526,1009610
73708,1009718
68321,1009282
68321,1009280
68321,1009312
69055,1009707
68663,1009652
68397,1009220
68397,1009338
68397,1009351
68397,1009368
68397,1009610
68397,1009664
68397,1009718
67999,1009241
67999,1009258
69365,1009189
69365,1009515
68618,1009351
68606,1011385
68606,1009262
67917,1009220
70234,1009243
70234,1009472
70234,1009629
70091,1009277
70091,1009393
70091,1009482
70091,1009554
70091,1009705
68145,1009268
67716,1009175
67716,1009337
68295,1009282
68325,1009282
68325,1009440
69490,1009268
69490,1009610
69416,1009313
69416,1009546
65303,1009268
65303,1009610
62232,1009652
65813,1009327
62191,1011060
65277,1009214
65277,1009268
65815,1009327
65815,1009504
65288,1009368
65331,1009262
65331,1009282
65331,1009420
65331,1009610
65331,1009664
65300,1009447
65320,1009187
65808,1009327
65808,1009718
49113,1009515
65333,1009351
65333,1009610
62137,1009239
62137,1009282
65268,1009187
65268,1009390
65326,1009220
65326,1009282
65326,1009351
65326,1009356
65326,1009368
65326,1009407
65326,1009471
65326,1009662
65326,1009707
65363,1009351
65812,1009257
65812,1009327
61124,1009303
65295,1009187
65295,1009610
65313,1009185
65313,1009610
65746,1009262
65746,1009610
61456,1009297
61456,1009697
65279,1009282
65279,1009407
65312,1009175
65312,1009356
65312,1009524
65312,1009546
65312,1009562
65312,1009707
65312,1009719
65709,1009241
65709,1009258
65709,1009389
65709,1009515
65318,1009243
